,user,1,2,3,4,5,6,7,8,9,10
1196,1,GoodFellas (1990),Babe (1995),Sixth Sense% The (1999),Pulp Fiction (1994),Shine (1996),Good Will Hunting (1997),Run Lola Run (Lola rennt) (1998),Who Framed Roger Rabbit? (1988),Being John Malkovich (1999),
1197,0,Seven (Se7en) (1995),Simple Plan% A (1998),Pulp Fiction (1994),Professional% The (a.k.a. Leon: The Professional) (1994),Duets (2000),GoodFellas (1990),Grifters% The (1990),Wonder Boys (2000),Some Folks Call It a Sling Blade (1993),
1198,1,Space Cowboys (2000),Titan A.E. (2000),Shaft (2000),Frequency (2000),Gone in 60 Seconds (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Babe (1995),Pitch Black (2000),Terminator% The (1984),
1199,0,Gandhi (1982),GoldenEye (1995),River Runs Through It% A (1992),Face/Off (1997),Mask of Zorro% The (1998),Sleepless in Seattle (1993),Fallen (1998),Con Air (1997),Galaxy Quest (1999),
1200,0,Exotica (1994),Man on the Moon (1999),Snow Falling on Cedars (1999),Final Destination (2000),Election (1999),20 Dates (1998),Rushmore (1998),South Park: Bigger% Longer and Uncut (1999),Boys Don't Cry (1999),
1201,0,Bringing Out the Dead (1999),54 (1998),20 Dates (1998),Stuart Little (1999),Sleepy Hollow (1999),Summer of Sam (1999),Romy and Michele's High School Reunion (1997),Inspector Gadget (1999),Election (1999),
1202,1,Universal Soldier (1992),Christmas Story% A (1983),My Best Friend's Wedding (1997),Conan the Barbarian (1982),Silence of the Lambs% The (1991),Benny & Joon (1993),Enemy of the State (1998),Clockwork Orange% A (1971),Wild Wild West (1999),
1203,1,Wings of the Dove% The (1997),Hope Floats (1998),X-Files: Fight the Future% The (1998),Bob Roberts (1992),And the Band Played On (1993),Return to Paradise (1998),Bless the Child (2000),Little Voice (1998),Sneakers (1992),
1204,0,Bringing Out the Dead (1999),Arlington Road (1999),Stigmata (1999),She's All That (1999),54 (1998),Office Space (1999),Dick (1999),Detroit Rock City (1999),Mission to Mars (2000),
1205,0,Sense and Sensibility (1995),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Secret of Roan Inish% The (1994),My Best Friend's Wedding (1997),Smoke Signals (1998),Shadowlands (1993),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),Pretty Woman (1990),End of the Affair% The (1999),
1206,0,Freejack (1992),Godzilla (1998),Blade Runner (1982),Arrival% The (1996),Species II (1998),Barb Wire (1996),Back to the Future Part III (1990),Highlander III: The Sorcerer (1994),Wing Commander (1999),
1207,1,Robocop 2 (1990),Rising Sun (1993),Man Who Knew Too Little% The (1997),Patriot Games (1992),Alive (1993),Avengers% The (1998),Entrapment (1999),Crow% The (1994),Run Lola Run (Lola rennt) (1998),
1208,0,Bamboozled (2000),Beyond the Mat (2000),Original Kings of Comedy% The (2000),Way of the Gun% The (2000),Requiem for a Dream (2000),But I'm a Cheerleader (1999),Best in Show (2000),Remember the Titans (2000),Big Kahuna% The (2000),
1209,0,Better Off Dead... (1985),Pink Floyd - The Wall (1982),Parenthood (1989),Outsiders% The (1983),Blues Brothers% The (1980),Moonstruck (1987),Beetlejuice (1988),Titanic (1953),Midnight Run (1988),
1210,0,Total Recall (1990),Men in Black (1997),Star Wars: Episode I - The Phantom Menace (1999),Braveheart (1995),Godfather% The (1972),Alien³ (1992),Alien: Resurrection (1997),Mars Attacks! (1996),Blade Runner (1982),
1211,1,Dead Man Walking (1995),Lone Star (1996),Jurassic Park (1993),Some Folks Call It a Sling Blade (1993),In the Company of Men (1997),Hoop Dreams (1994),Dark City (1998),Until the End of the World (Bis ans Ende der Welt) (1991),Sneakers (1992),
1212,0,Lock% Stock & Two Smoking Barrels (1998),Hard 8 (a.k.a. Sydney% a.k.a. Hard Eight) (1996),Suicide Kings (1997),2 Days in the Valley (1996),Cop Land (1997),Freeway (1996),Carlito's Way (1993),Mulholland Falls (1996),Casino (1995),
1213,0,Vertigo (1958),Manchurian Candidate% The (1962),Harvey (1950),Rosemary's Baby (1968),M*A*S*H (1970),American Graffiti (1973),His Girl Friday (1940),Conversation% The (1974),Little Big Man (1970),
1214,0,MacKenna's Gold (1969),Lonely Are the Brave (1962),Cimarron (1931),Wild Bunch% The (1969),Alvarez Kelly (1966),Dorado% El (1967),True Grit (1969),Close Encounters of the Third Kind (1977),Mark of Zorro% The (1940),
1215,1,Westworld (1973),Abyss% The (1989),20%000 Leagues Under the Sea (1954),Adventures of Buckaroo Bonzai Across the 8th Dimension% The (1984),Fly% The (1958),Running Man% The (1987),Braveheart (1995),Repo Man (1984),Mystery Science Theater 3000: The Movie (1996),
1216,0,Star Wars: Episode VI - Return of the Jedi (1983),Clockwork Orange% A (1971),Glory (1989),Lord of the Flies (1963),Adventures of Robin Hood% The (1938),X-Men (2000),Total Recall (1990),Spartacus (1960),Titanic (1953),
1217,0,Small Time Crooks (2000),Meet the Parents (2000),Big Kahuna% The (2000),Jaws (1975),Star Wars: Episode VI - Return of the Jedi (1983),Cell% The (2000),But I'm a Cheerleader (1999),Wonder Boys (2000),X-Men (2000),
1218,0,Life Is Beautiful (La Vita è bella) (1997),Insider% The (1999),Boat% The (Das Boot) (1981),Dead Man Walking (1995),Sling Blade (1996),Ed Wood (1994),Elizabeth (1998),Terminator% The (1984),Usual Suspects% The (1995),
1219,0,Galaxy Quest (1999),True Lies (1994),Outbreak (1995),Enemy of the State (1998),Lethal Weapon 4 (1998),Speed 2: Cruise Control (1997),Under Siege (1992),Natural Born Killers (1994),Heat (1995),
1220,1,Muppets From Space (1999),Flubber (1997),Nightmare Before Christmas% The (1993),Angels in the Outfield (1994),Braveheart (1995),Casper (1995),World Is Not Enough% The (1999),Star Wars: Episode I - The Phantom Menace (1999),Home Alone 3 (1997),
1221,1,Adventures in Babysitting (1987),Ghost (1990),Little Shop of Horrors (1986),Soul Man (1986),She-Devil (1989),'burbs% The (1989),Alien (1979),Condorman (1981),Gods Must Be Crazy II% The (1989),
1222,0,Sleepy Hollow (1999),Boys Don't Cry (1999),Erin Brockovich (2000),Star Wars: Episode IV - A New Hope (1977),Doors% The (1991),Magnolia (1999),Run Lola Run (Lola rennt) (1998),Elizabeth (1998),Bringing Out the Dead (1999),
1223,1,Animal House (1978),Producers% The (1968),Vertigo (1958),Christmas Story% A (1983),Do the Right Thing (1989),Third Man% The (1949),Grand Day Out% A (1992),Great Dictator% The (1940),Cape Fear (1962),
1224,1,Natural% The (1984),General% The (1927),Blade Runner (1982),Elephant Man% The (1980),Matrix% The (1999),My Left Foot (1989),Few Good Men% A (1992),When Harry Met Sally... (1989),M*A*S*H (1970),
1225,0,Shawshank Redemption% The (1994),Silence of the Lambs% The (1991),Hoop Dreams (1994),Life Is Beautiful (La Vita è bella) (1997),Sling Blade (1996),Boogie Nights (1997),Grifters% The (1990),Flintstones% The (1994),Usual Suspects% The (1995),
1226,0,Duets (2000),Yards% The (1999),Wonder Boys (2000),Watcher% The (2000),Tao of Steve% The (2000),But I'm a Cheerleader (1999),Saving Grace (2000),Croupier (1998),Virgin Suicides% The (1999),
1227,0,Life Is Beautiful (La Vita è bella) (1997),Trick (1999),Apostle% The (1997),Madness of King George% The (1994),Green Mile% The (1999),Red Violin% The (Le Violon rouge) (1998),East is East (1999),Waking Ned Devine (1998),Seven (Se7en) (1995),
1228,1,Thelma & Louise (1991),Some Folks Call It a Sling Blade (1993),Godfather: Part II% The (1974),Chicken Run (2000),Mask of Zorro% The (1998),Ghost and the Darkness% The (1996),Green Mile% The (1999),Terminator 2: Judgment Day (1991),Gattaca (1997),
1229,0,Pulp Fiction (1994),Sling Blade (1996),Hoop Dreams (1994),GoodFellas (1990),L.A. Confidential (1997),Reservoir Dogs (1992),Seven (Se7en) (1995),Sixth Sense% The (1999),Run Lola Run (Lola rennt) (1998),
1230,1,Strange Days (1995),Black Hole% The (1979),Mystery Science Theater 3000: The Movie (1996),Indiana Jones and the Temple of Doom (1984),Aliens (1986),Superman II (1980),Heavy Metal (1981),Alien Nation (1988),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),
1231,1,Saving Private Ryan (1998),Usual Suspects% The (1995),GoodFellas (1990),Psycho (1960),Some Folks Call It a Sling Blade (1993),Back to the Future (1985),Sixth Sense% The (1999),South Park: Bigger% Longer and Uncut (1999),Princess Bride% The (1987),
1232,0,This Is Spinal Tap (1984),And Now for Something Completely Different (1971),Big Kahuna% The (2000),Saving Grace (2000),Shine (1996),Bull Durham (1988),What's Eating Gilbert Grape (1993),Heathers (1989),Opposite of Sex% The (1998),
1233,0,Metropolis (1926),Raiders of the Lost Ark (1981),Predator (1987),Star Wars: Episode I - The Phantom Menace (1999),Jurassic Park (1993),Planet of the Apes (1968),Who Framed Roger Rabbit? (1988),Delicatessen (1991),Jaws (1975),
1234,0,Key Largo (1948),Cape Fear (1962),Touch of Evil (1958),Princess Bride% The (1987),M (1931),Laura (1944),E.T. the Extra-Terrestrial (1982),Nurse Betty (2000),Manchurian Candidate% The (1962),
1235,0,Dead Man Walking (1995),Sling Blade (1996),GoodFellas (1990),Green Mile% The (1999),Insider% The (1999),Piano% The (1993),Three Kings (1999),Truman Show% The (1998),American Beauty (1999),
1236,0,Indiana Jones and the Last Crusade (1989),Alien (1979),Star Wars: Episode IV - A New Hope (1977),Glory (1989),Platoon (1986),Batman (1989),Big Trouble in Little China (1986),E.T. the Extra-Terrestrial (1982),Die Hard (1988),
1237,0,Palmetto (1998),When Harry Met Sally... (1989),Craft% The (1996),Serial Mom (1994),Monty Python and the Holy Grail (1974),Jaws 2 (1978),Scream 2 (1997),Raising Arizona (1987),Murder at 1600 (1997),
1238,0,Mosquito Coast% The (1986),Angela's Ashes (1999),Restoration (1995),Sleepy Hollow (1999),Rushmore (1998),I Saw What You Did (1965),Clerks (1994),Clan of the Cave Bear% The (1986),Fight Club (1999),
1239,1,Babe: Pig in the City (1998),Some Folks Call It a Sling Blade (1993),Green Mile% The (1999),Shakespeare in Love (1998),Three Kings (1999),Waking Ned Devine (1998),Apostle% The (1997),Usual Suspects% The (1995),What's Eating Gilbert Grape (1993),
1240,0,Space Cowboys (2000),Shanghai Noon (2000),Frequency (2000),Where the Heart Is (2000),Shaft (2000),My Dog Skip (1999),Hanging Up (2000),Hollow Man (2000),Scary Movie (2000),
1241,0,Me Myself I (2000),Bring It On (2000),Romeo Must Die (2000),Nutty Professor II: The Klumps (2000),Talented Mr. Ripley% The (1999),Titan A.E. (2000),Run Lola Run (Lola rennt) (1998),Hollow Man (2000),What Lies Beneath (2000),
1242,1,House of Yes% The (1997),Sweet Hereafter% The (1997),Ulee's Gold (1997),Glengarry Glen Ross (1992),But I'm a Cheerleader (1999),Big One% The (1997),Maya Lin: A Strong Clear Vision (1994),Wonder Boys (2000),Addams Family% The (1991),
1243,1,Heathers (1989),Little Big Man (1970),Being There (1979),Star Trek: Insurrection (1998),Snow Falling on Cedars (1999),Starship Troopers (1997),Beetlejuice (1988),This Is Spinal Tap (1984),Aliens (1986),
1244,0,Fallen (1998),Cutthroat Island (1995),Superman (1978),Waking Ned Devine (1998),Bloodsport (1988),My Dog Skip (1999),G.I. Jane (1997),Emerald Forest% The (1985),Mercury Rising (1998),
1245,0,Metropolis (1926),Back to the Future (1985),Raiders of the Lost Ark (1981),Jurassic Park (1993),Star Wars: Episode I - The Phantom Menace (1999),Robocop (1987),Escape from New York (1981),Fly% The (1986),Men in Black (1997),
1246,1,Life Is Beautiful (La Vita è bella) (1997),Some Folks Call It a Sling Blade (1993),Drop Dead Fred (1991),Stand by Me (1986),Die Hard 2 (1990),Devil's Own% The (1997),Return to Oz (1985),Slums of Beverly Hills% The (1998),Few Good Men% A (1992),
1247,0,Frequency (2000),Perfect Storm% The (2000),Skulls% The (2000),Snow Day (2000),Mission: Impossible 2 (2000),Beyond the Mat (2000),Battlefield Earth (2000),Me Myself I (2000),Tigger Movie% The (2000),
1248,1,Seven (Se7en) (1995),Professional% The (a.k.a. Leon: The Professional) (1994),Bound (1996),Some Folks Call It a Sling Blade (1993),Lock% Stock & Two Smoking Barrels (1998),Donnie Brasco (1997),Limey% The (1999),Crumb (1994),Spanish Prisoner% The (1997),
1249,0,Alien (1979),Star Wars: Episode IV - A New Hope (1977),E.T. the Extra-Terrestrial (1982),Close Encounters of the Third Kind (1977),Twelve Monkeys (1995),Princess Bride% The (1987),Repo Man (1984),Abyss% The (1989),Jurassic Park (1993),
1250,0,Wonder Boys (2000),High Fidelity (2000),Meet the Parents (2000),Rushmore (1998),Boys Don't Cry (1999),Clerks (1994),Saving Grace (2000),Tao of Steve% The (2000),Duets (2000),
1251,0,Boys Don't Cry (1999),Superstar (1999),Dick (1999),Go (1999),Detroit Rock City (1999),Bringing Out the Dead (1999),Doctor Dolittle (1998),Pushing Tin (1999),Snow Falling on Cedars (1999),
1252,1,Big Kahuna% The (2000),Croupier (1998),Fargo (1996),Time Code (2000),Deer Hunter% The (1978),Best in Show (2000),Hamlet (2000),Dancer in the Dark (2000),Tao of Steve% The (2000),
1253,1,Close Shave% A (1995),Flirting With Disaster (1996),Matewan (1987),Reds (1981),Barcelona (1994),Babe: Pig in the City (1998),Shakespeare in Love (1998),Gandhi (1982),Blue in the Face (1995),
1254,0,Bridges of Madison County% The (1995),William Shakespeare's Romeo and Juliet (1996),Love Letter% The (1999),Shine (1996),Gone with the Wind (1939),Groundhog Day (1993),Ghost (1990),Other Sister% The (1999),Flashdance (1983),
1255,0,Green Mile% The (1999),Red Violin% The (Le Violon rouge) (1998),Exotica (1994),American History X (1998),Snow Falling on Cedars (1999),Man on the Moon (1999),Apollo 13 (1995),Life Is Beautiful (La Vita è bella) (1997),Immortal Beloved (1994),
1256,0,Simple Plan% A (1998),Third Man% The (1949),Pulp Fiction (1994),Blood Simple (1984),Professional% The (a.k.a. Leon: The Professional) (1994),GoodFellas (1990),Grifters% The (1990),Citizen Kane (1941),Vertigo (1958),
1257,0,Indiana Jones and the Last Crusade (1989),Top Gun (1986),Crocodile Dundee II (1988),Jumpin' Jack Flash (1986),Terminator 2: Judgment Day (1991),NeverEnding Story% The (1984),Arachnophobia (1990),Matrix% The (1999),Star Wars: Episode I - The Phantom Menace (1999),
1258,0,Abbott and Costello Meet Frankenstein (1948),Asphalt Jungle% The (1950),Reservoir Dogs (1992),Wrong Man% The (1956),Hoop Dreams (1994),Sling Blade (1996),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Professional% The (a.k.a. Leon: The Professional) (1994),Bikini Beach (1964),
1259,0,Wes Craven's New Nightmare (1994),Hellraiser: Bloodline (1996),Matrix% The (1999),Close Encounters of the Third Kind (1977),Star Wars: Episode I - The Phantom Menace (1999),Galaxy Quest (1999),Aliens (1986),Phantom of the Opera% The (1943),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),
1260,1,Cop Land (1997),Psycho (1960),Amadeus (1984),Dead Man Walking (1995),Face/Off (1997),Insider% The (1999),E.T. the Extra-Terrestrial (1982),Cape Fear (1991),When Harry Met Sally... (1989),
1261,0,Mission to Mars (2000),Shaft (2000),Blair Witch Project% The (1999),Romy and Michele's High School Reunion (1997),Bone Collector% The (1999),Instinct (1999),Astronaut's Wife% The (1999),Nutty Professor II: The Klumps (2000),Space Cowboys (2000),
1262,0,Better Off Dead... (1985),Arthur (1981),Caddyshack (1980),Bull Durham (1988),Shanghai Noon (2000),Rudy (1993),Ghostbusters II (1989),Popeye (1980),Nothing in Common (1986),
1263,1,Doors% The (1991),54 (1998),Bone Collector% The (1999),Bringing Out the Dead (1999),Splash (1984),Superstar (1999),White Squall (1996),For Love of the Game (1999),Dazed and Confused (1993),
1264,1,Lolita (1997),Bringing Out the Dead (1999),Smoke (1995),Erin Brockovich (2000),Big (1988),Run Lola Run (Lola rennt) (1998),Superman II (1980),Logan's Run (1976),October Sky (1999),
1265,1,Waking Ned Devine (1998),Wayne's World (1992),Chicken Run (2000),Jesus' Son (1999),Talented Mr. Ripley% The (1999),Go (1999),L.A. Story (1991),Contact (1997),FairyTale: A True Story (1997),
1266,1,Fletch Lives (1989),Dead Poets Society (1989),Grosse Pointe Blank (1997),Wedding Singer% The (1998),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),Jungle Book% The (1967),Waking Ned Devine (1998),Babe: Pig in the City (1998),Raiders of the Lost Ark (1981),
1267,0,Godfather% The (1972),L.A. Confidential (1997),GoodFellas (1990),Matrix% The (1999),Who Framed Roger Rabbit? (1988),Galaxy Quest (1999),Singin' in the Rain (1952),Professional% The (a.k.a. Leon: The Professional) (1994),Princess Bride% The (1987),
1268,0,Easy Rider (1969),Treasure of the Sierra Madre% The (1948),Raging Bull (1980),Five Easy Pieces (1970),Blazing Saddles (1974),Body Heat (1981),Repo Man (1984),Metropolis (1926),Three Days of the Condor (1975),
1269,0,Red Violin% The (Le Violon rouge) (1998),Stuart Little (1999),Clan of the Cave Bear% The (1986),Snow Falling on Cedars (1999),Bringing Out the Dead (1999),Mosquito Coast% The (1986),Eyes Wide Shut (1999),Rushmore (1998),Erin Brockovich (2000),
1270,0,Space Cowboys (2000),Ninth Gate% The (2000),Final Destination (2000),Nurse Betty (2000),Shaft (2000),What Lies Beneath (2000),Patriot% The (2000),Scary Movie (2000),U-571 (2000),
1271,1,Love and Death (1975),Brassed Off (1996),Harold and Maude (1971),Duck Soup (1933),Mulan (1998),Groundhog Day (1993),Hercules (1997),Pretty Woman (1990),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995),
1272,1,Babe: Pig in the City (1998),NeverEnding Story% The (1984),Creature Comforts (1990),Fantasia 2000 (1999),October Sky (1999),Silence of the Lambs% The (1991),Little Voice (1998),Jerry Maguire (1996),Howard the Duck (1986),
1273,1,Cool Hand Luke (1967),And Now for Something Completely Different (1971),It Happened One Night (1934),Pink Flamingos (1972),Grand Illusion (Grande illusion% La) (1937),Shop Around the Corner% The (1940),Henry V (1989),Arsenic and Old Lace (1944),Secret of Roan Inish% The (1994),
1274,1,Belle de jour (1967),Kagemusha (1980),Once Upon a Time in the West (1969),Reservoir Dogs (1992),Born Yesterday (1950),Coogan's Bluff (1968),Creature Comforts (1990),Gay Divorcee% The (1934),Thing% The (1982),
1275,0,Stalag 17 (1953),Citizen Kane (1941),Adventures of Robin Hood% The (1938),Blade Runner (1982),Rear Window (1954),Star Wars: Episode V - The Empire Strikes Back (1980),Man Who Would Be King% The (1975),E.T. the Extra-Terrestrial (1982),Boat% The (Das Boot) (1981),
1276,1,Gods Must Be Crazy% The (1980),Breakfast Club% The (1985),Young Frankenstein (1974),M*A*S*H (1970),Moonstruck (1987),Big Chill% The (1983),Vacation (1983),Parenthood (1989),Naked Gun: From the Files of Police Squad!% The (1988),
1277,0,Pet Sematary (1989),Bram Stoker's Dracula (1992),Shining% The (1980),Firestarter (1984),Friday the 13th (1980),Psycho (1998),Omen% The (1976),Urban Legend (1998),Craft% The (1996),
1278,0,Dark Crystal% The (1982),Back to the Future (1985),Who Framed Roger Rabbit? (1988),Legend (1985),Boy Who Could Fly% The (1986),Ladyhawke (1985),Honey% I Shrunk the Kids (1989),Witness (1985),Hook (1991),
1279,1,Twelve Monkeys (1995),Waking Ned Devine (1998),Elizabeth (1998),Apostle% The (1997),Liar Liar (1997),Amadeus (1984),Forrest Gump (1994),Ref% The (1994),Planet of the Apes (1968),
1280,1,Man on the Moon (1999),Drop Dead Gorgeous (1999),She's All That (1999),Scary Movie (2000),Perfect Storm% The (2000),Shaft (2000),Talented Mr. Ripley% The (1999),Kingpin (1996),Pitch Black (2000),
1281,0,Three Colors: White (1994),Howards End (1992),Breaking the Waves (1996),Celebration% The (Festen) (1998),Safe (1995),Butcher Boy% The (1998),Boys Life (1995),Fearless (1993),Searching for Bobby Fischer (1993),
1282,0,Ferris Bueller's Day Off (1986),Christmas Story% A (1983),Stop Making Sense (1984),Rudy (1993),Magnolia (1999),Crimes and Misdemeanors (1989),This Is Spinal Tap (1984),Shakespeare in Love (1998),Sixth Sense% The (1999),
1283,1,Iron Giant% The (1999),Hercules (1997),Prince of Egypt% The (1998),James and the Giant Peach (1996),Babe (1995),Fantasia 2000 (1999),Pocahontas (1995),Leaving Las Vegas (1995),Anastasia (1997),
1284,1,Remember the Titans (2000),Sling Blade (1996),Life Is Beautiful (La Vita è bella) (1997),October Sky (1999),Run Lola Run (Lola rennt) (1998),Commitments% The (1991),Whole Nine Yards% The (2000),True Lies (1994),American Psycho (2000),
1285,1,Devil in a Blue Dress (1995),Murphy's Romance (1985),Space Cowboys (2000),Lucas (1986),Adventures of Robin Hood% The (1938),Little Voice (1998),2 Days in the Valley (1996),Fletch Lives (1989),Sleeper (1973),
1286,0,Bowfinger (1999),Jeremiah Johnson (1972),Red Violin% The (Le Violon rouge) (1998),Magnum Force (1973),True Grit (1969),South Park: Bigger% Longer and Uncut (1999),Snow Falling on Cedars (1999),Elizabeth (1998),Fight Club (1999),
1287,1,Run Lola Run (Lola rennt) (1998),Mission: Impossible 2 (2000),Seven (Se7en) (1995),Sling Blade (1996),Green Mile% The (1999),Insider% The (1999),Good Will Hunting (1997),Babe (1995),Professional% The (a.k.a. Leon: The Professional) (1994),
1288,0,Talented Mr. Ripley% The (1999),Gods and Monsters (1998),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Snow Falling on Cedars (1999),Postino% Il (The Postman) (1994),Bread and Chocolate (Pane e cioccolata) (1973),Fight Club (1999),Shadowlands (1993),Richard III (1995),
1289,0,Mutiny on the Bounty (1935),Godfather: Part II% The (1974),Adventures of Robin Hood% The (1938),Graduate% The (1967),Grapes of Wrath% The (1940),To Kill a Mockingbird (1962),Jaws (1975),Schindler's List (1993),Silence of the Lambs% The (1991),
1290,0,Erin Brockovich (2000),Election (1999),Red Violin% The (Le Violon rouge) (1998),Fight Club (1999),Stuart Little (1999),Being John Malkovich (1999),Bringing Out the Dead (1999),Chicken Run (2000),Snow Falling on Cedars (1999),
1291,1,Wedding Singer% The (1998),And Now for Something Completely Different (1971),Exorcist% The (1973),Four Weddings and a Funeral (1994),Duck Soup (1933),While You Were Sleeping (1995),L.A. Confidential (1997),Sling Blade (1996),Stop Making Sense (1984),
1292,0,Titan A.E. (2000),Nurse Betty (2000),Big Kahuna% The (2000),Chicken Run (2000),Space Cowboys (2000),Final Destination (2000),Remember the Titans (2000),Wonder Boys (2000),Contender% The (2000),
1293,0,Monty Python's Life of Brian (1979),Swingers (1996),And Now for Something Completely Different (1971),Shakespeare in Love (1998),Young Frankenstein (1974),Dead Man Walking (1995),Silence of the Lambs% The (1991),Big Kahuna% The (2000),Slums of Beverly Hills% The (1998),
1294,1,Roger & Me (1989),Christmas Story% A (1983),Babe: Pig in the City (1998),Pink Flamingos (1972),Breakfast Club% The (1985),Waking Ned Devine (1998),Bananas (1971),Austin Powers: International Man of Mystery (1997),Bottle Rocket (1996),
1295,0,Key Largo (1948),Strangers on a Train (1951),Gilda (1946),Murder% My Sweet (1944),M (1931),Blood Simple (1984),Cape Fear (1962),Third Man% The (1949),Killing% The (1956),
1296,1,Babe (1995),American Beauty (1999),Full Monty% The (1997),Life Is Beautiful (La Vita è bella) (1997),Hamlet (1996),In the Name of the Father (1993),Some Folks Call It a Sling Blade (1993),Fargo (1996),Much Ado About Nothing (1993),
1297,1,Westworld (1973),Shawshank Redemption% The (1994),Mission: Impossible (1996),Dumbo (1941),Rocky Horror Picture Show% The (1975),Last of the Mohicans% The (1992),Face/Off (1997),Elizabeth (1998),Thelma & Louise (1991),
1298,1,Galaxy Quest (1999),From Dusk Till Dawn (1996),October Sky (1999),Dead Man Walking (1995),Liar Liar (1997),Twelve Monkeys (1995),Ferris Bueller's Day Off (1986),Enemy of the State (1998),Hoop Dreams (1994),
1299,1,Indiana Jones and the Last Crusade (1989),F/X (1986),Drunken Master (Zui quan) (1979),Abyss% The (1989),Idle Hands (1999),Fly% The (1986),Full Metal Jacket (1987),Run Lola Run (Lola rennt) (1998),Thing% The (1982),
1300,0,Road Trip (2000),Lake Placid (1999),Erin Brockovich (2000),Pushing Tin (1999),Bringing Out the Dead (1999),Eyes Wide Shut (1999),Chicken Run (2000),Doors% The (1991),Doctor Dolittle (1998),
1301,1,Titanic (1997),Ronin (1998),Thing% The (1982),October Sky (1999),Pulp Fiction (1994),Mission: Impossible 2 (2000),Clockwork Orange% A (1971),Rocky (1976),Grifters% The (1990),
1302,0,Sneakers (1992),X-Files: Fight the Future% The (1998),Pi (1998),Alien: Resurrection (1997),Mars Attacks! (1996),Lost World: Jurassic Park% The (1997),Arachnophobia (1990),Deep Impact (1998),Galaxy Quest (1999),
1303,1,Gods Must Be Crazy% The (1980),Go (1999),Navigator: A Mediaeval Odyssey% The (1988),Sling Blade (1996),Grosse Pointe Blank (1997),Run Lola Run (Lola rennt) (1998),Eyes Wide Shut (1999),Heavy Metal (1981),Mumford (1999),
1304,0,Jaws (1975),Midnight Run (1988),Back to the Future (1985),Matrix% The (1999),Predator (1987),Schindler's List (1993),Braveheart (1995),Indiana Jones and the Temple of Doom (1984),Blade Runner (1982),
1305,0,Great Day in Harlem% A (1994),When We Were Kings (1996),Koyaanisqatsi (1983),Maya Lin: A Strong Clear Vision (1994),Big One% The (1997),Unzipped (1995),Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Celluloid Closet% The (1995),Perfect Candidate% A (1996),
1306,1,Perfect Storm% The (2000),Babe (1995),Dead Man Walking (1995),Usual Suspects% The (1995),Mystery Science Theater 3000: The Movie (1996),Godfather: Part II% The (1974),Rocketeer% The (1991),Life Is Beautiful (La Vita è bella) (1997),eXistenZ (1999),
1307,0,Star Wars: Episode V - The Empire Strikes Back (1980),Jaws (1975),Raiders of the Lost Ark (1981),Matrix% The (1999),Predator (1987),Indiana Jones and the Last Crusade (1989),Godfather% The (1972),Blade Runner (1982),E.T. the Extra-Terrestrial (1982),
1308,0,Cider House Rules% The (1999),Terminator 2: Judgment Day (1991),Star Wars: Episode I - The Phantom Menace (1999),Talented Mr. Ripley% The (1999),Magnolia (1999),American Beauty (1999),Shanghai Noon (2000),South Park: Bigger% Longer and Uncut (1999),E.T. the Extra-Terrestrial (1982),
1309,0,Frequency (2000),Keeping the Faith (2000),Drowning Mona (2000),My Dog Skip (1999),Next Friday (1999),What Planet Are You From? (2000),Rules of Engagement (2000),Return to Me (2000),Final Destination (2000),
1310,0,Atlantic City (1980),Verdict% The (1982),Year of Living Dangerously (1982),Cry in the Dark% A (1988),Full Metal Jacket (1987),Amadeus (1984),Birdy (1984),Matewan (1987),Agnes of God (1985),
1311,0,Yellow Submarine (1968),Sleeping Beauty (1959),Fantasia (1940),Indiana Jones and the Last Crusade (1989),unk1,Drop Dead Fred (1991),Prince of Egypt% The (1998),Close Encounters of the Third Kind (1977),Steamboat Willie (1940),
1312,1,Twelve Monkeys (1995),Pocahontas (1995),Winnie the Pooh and the Blustery Day (1968),Time Bandits (1981),Fox and the Hound% The (1981),Abyss% The (1989),Antz (1998),Lord of the Rings% The (1978),Thing% The (1982),
1313,0,Rules of Engagement (2000),Men in Black (1997),Speed (1994),Total Recall (1990),Frequency (2000),Boat% The (Das Boot) (1981),Star Wars: Episode I - The Phantom Menace (1999),Heat (1995),X-Men (2000),
1314,1,Balto (1995),Antz (1998),Steamboat Willie (1940),Song of the South (1946),Sword in the Stone% The (1963),Quest for Camelot (1998),Homeward Bound II: Lost in San Francisco (1996),Star Trek: Generations (1994),Charlotte's Web (1973),
1315,0,M (1931),Fargo (1996),Almost Famous (2000),Gone with the Wind (1939),Shawshank Redemption% The (1994),Life Is Beautiful (La Vita è bella) (1997),12 Angry Men (1957),Maltese Falcon% The (1941),Cape Fear (1962),
