,user,1,2,3,4,5,6
1280,1,Man on the Moon (1999),Drop Dead Gorgeous (1999),She's All That (1999),Scary Movie (2000),Perfect Storm% The (2000),Shaft (2000)
1281,0,Three Colors: White (1994),Howards End (1992),Breaking the Waves (1996),Celebration% The (Festen) (1998),Safe (1995),Butcher Boy% The (1998)
1282,0,Ferris Bueller's Day Off (1986),Christmas Story% A (1983),Stop Making Sense (1984),Rudy (1993),Magnolia (1999),Crimes and Misdemeanors (1989)
1283,1,Iron Giant% The (1999),Hercules (1997),Prince of Egypt% The (1998),James and the Giant Peach (1996),Babe (1995),Fantasia 2000 (1999)
1284,1,Remember the Titans (2000),Sling Blade (1996),Life Is Beautiful (La Vita è bella) (1997),October Sky (1999),Run Lola Run (Lola rennt) (1998),Commitments% The (1991)
1285,1,Devil in a Blue Dress (1995),Murphy's Romance (1985),Space Cowboys (2000),Lucas (1986),Adventures of Robin Hood% The (1938),Little Voice (1998)
1286,0,Bowfinger (1999),Jeremiah Johnson (1972),Red Violin% The (Le Violon rouge) (1998),Magnum Force (1973),True Grit (1969),South Park: Bigger% Longer and Uncut (1999)
1287,1,Run Lola Run (Lola rennt) (1998),Mission: Impossible 2 (2000),Seven (Se7en) (1995),Sling Blade (1996),Green Mile% The (1999),Insider% The (1999)
1288,0,Talented Mr. Ripley% The (1999),Gods and Monsters (1998),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Snow Falling on Cedars (1999),Postino% Il (The Postman) (1994),Bread and Chocolate (Pane e cioccolata) (1973)
1289,0,Mutiny on the Bounty (1935),Godfather: Part II% The (1974),Adventures of Robin Hood% The (1938),Graduate% The (1967),Grapes of Wrath% The (1940),To Kill a Mockingbird (1962)
1290,0,Erin Brockovich (2000),Election (1999),Red Violin% The (Le Violon rouge) (1998),Fight Club (1999),Stuart Little (1999),Being John Malkovich (1999)
1291,1,Wedding Singer% The (1998),And Now for Something Completely Different (1971),Exorcist% The (1973),Four Weddings and a Funeral (1994),Duck Soup (1933),While You Were Sleeping (1995)
1292,0,Titan A.E. (2000),Nurse Betty (2000),Big Kahuna% The (2000),Chicken Run (2000),Space Cowboys (2000),Final Destination (2000)
1293,0,Monty Python's Life of Brian (1979),Swingers (1996),And Now for Something Completely Different (1971),Shakespeare in Love (1998),Young Frankenstein (1974),Dead Man Walking (1995)
1294,1,Roger & Me (1989),Christmas Story% A (1983),Babe: Pig in the City (1998),Pink Flamingos (1972),Breakfast Club% The (1985),Waking Ned Devine (1998)
1295,0,Key Largo (1948),Strangers on a Train (1951),Gilda (1946),Murder% My Sweet (1944),M (1931),Blood Simple (1984)
1296,1,Babe (1995),American Beauty (1999),Full Monty% The (1997),Life Is Beautiful (La Vita è bella) (1997),Hamlet (1996),In the Name of the Father (1993)
1297,1,Westworld (1973),Shawshank Redemption% The (1994),Mission: Impossible (1996),Dumbo (1941),Rocky Horror Picture Show% The (1975),Last of the Mohicans% The (1992)
1298,1,Galaxy Quest (1999),From Dusk Till Dawn (1996),October Sky (1999),Dead Man Walking (1995),Liar Liar (1997),Twelve Monkeys (1995)
1299,1,Indiana Jones and the Last Crusade (1989),F/X (1986),Drunken Master (Zui quan) (1979),Abyss% The (1989),Idle Hands (1999),Fly% The (1986)
1300,0,Road Trip (2000),Lake Placid (1999),Erin Brockovich (2000),Pushing Tin (1999),Bringing Out the Dead (1999),Eyes Wide Shut (1999)
1301,1,Titanic (1997),Ronin (1998),Thing% The (1982),October Sky (1999),Pulp Fiction (1994),Mission: Impossible 2 (2000)
1302,0,Sneakers (1992),X-Files: Fight the Future% The (1998),Pi (1998),Alien: Resurrection (1997),Mars Attacks! (1996),Lost World: Jurassic Park% The (1997)
1303,1,Gods Must Be Crazy% The (1980),Go (1999),Navigator: A Mediaeval Odyssey% The (1988),Sling Blade (1996),Grosse Pointe Blank (1997),Run Lola Run (Lola rennt) (1998)
1304,0,Jaws (1975),Midnight Run (1988),Back to the Future (1985),Matrix% The (1999),Predator (1987),Schindler's List (1993)
1305,0,Great Day in Harlem% A (1994),When We Were Kings (1996),Koyaanisqatsi (1983),Maya Lin: A Strong Clear Vision (1994),Big One% The (1997),Unzipped (1995)
1306,1,Perfect Storm% The (2000),Babe (1995),Dead Man Walking (1995),Usual Suspects% The (1995),Mystery Science Theater 3000: The Movie (1996),Godfather: Part II% The (1974)
1307,0,Star Wars: Episode V - The Empire Strikes Back (1980),Jaws (1975),Raiders of the Lost Ark (1981),Matrix% The (1999),Predator (1987),Indiana Jones and the Last Crusade (1989)
1308,0,Cider House Rules% The (1999),Terminator 2: Judgment Day (1991),Star Wars: Episode I - The Phantom Menace (1999),Talented Mr. Ripley% The (1999),Magnolia (1999),American Beauty (1999)
1309,0,Frequency (2000),Keeping the Faith (2000),Drowning Mona (2000),My Dog Skip (1999),Next Friday (1999),What Planet Are You From? (2000)
1310,0,Atlantic City (1980),Verdict% The (1982),Year of Living Dangerously (1982),Cry in the Dark% A (1988),Full Metal Jacket (1987),Amadeus (1984)
1311,0,Yellow Submarine (1968),Sleeping Beauty (1959),Fantasia (1940),Indiana Jones and the Last Crusade (1989),Jumanji (1995),Drop Dead Fred (1991)
1312,1,Twelve Monkeys (1995),Pocahontas (1995),Winnie the Pooh and the Blustery Day (1968),Time Bandits (1981),Fox and the Hound% The (1981),Abyss% The (1989)
1313,0,Rules of Engagement (2000),Men in Black (1997),Speed (1994),Total Recall (1990),Frequency (2000),Boat% The (Das Boot) (1981)
1314,1,Balto (1995),Antz (1998),Steamboat Willie (1940),Song of the South (1946),Sword in the Stone% The (1963),Quest for Camelot (1998)
1315,0,M (1931),Fargo (1996),Almost Famous (2000),Gone with the Wind (1939),Shawshank Redemption% The (1994),Life Is Beautiful (La Vita è bella) (1997)
1316,0,Powder (1995),Doctor Dolittle (1998),Superstar (1999),Out of Africa (1985),Mystery Men (1999),Bachelor% The (1999)
1317,1,Clerks (1994),Muriel's Wedding (1994),Hudsucker Proxy% The (1994),Much Ado About Nothing (1993),Wallace & Gromit: The Best of Aardman Animation (1996),Rock% The (1996)
1318,0,Me Myself I (2000),Remember the Titans (2000),Best in Show (2000),Meet the Parents (2000),Wonder Boys (2000),Big Kahuna% The (2000)
1319,0,Remember the Titans (2000),Snow Falling on Cedars (1999),Where the Heart Is (2000),Boogie Nights (1997),Road Trip (2000),What Planet Are You From? (2000)
1320,0,Star Wars: Episode I - The Phantom Menace (1999),F/X (1986),Princess Bride% The (1987),Escape from New York (1981),Menace II Society (1993),Mariachi% El (1992)
1321,0,Say Anything... (1989),Lethal Weapon (1987),Prizzi's Honor (1985),Risky Business (1983),Blues Brothers% The (1980),This Is Spinal Tap (1984)
1322,1,101 Dalmatians (1961),Man Who Would Be King% The (1975),Taming of the Shrew% The (1967),Jungle Book% The (1967),Romeo and Juliet (1968),Gulliver's Travels (1939)
1323,0,Arsenic and Old Lace (1944),Manon of the Spring (Manon des sources) (1986),Affair to Remember% An (1957),Quiet Man% The (1952),Dial M for Murder (1954),My Fair Lady (1964)
1324,0,Chinatown (1974),Boys Don't Cry (1999),Godfather% The (1972),Run Lola Run (Lola rennt) (1998),Clerks (1994),Raging Bull (1980)
1325,1,Rescuers% The (1977),Anastasia (1997),Blues Brothers% The (1980),Predator (1987),Boat% The (Das Boot) (1981),Creature Comforts (1990)
1326,0,Dead Man Walking (1995),Insider% The (1999),Saving Private Ryan (1998),Pulp Fiction (1994),Usual Suspects% The (1995),L.A. Confidential (1997)
1327,0,Pocahontas (1995),Mulan (1998),Thin Red Line% The (1998),Tarzan (1999),Tora! Tora! Tora! (1970),Rambo: First Blood Part II (1985)
1328,0,Predator (1987),Jackal% The (1997),Midnight Run (1988),G.I. Jane (1997),Alien (1979),Batman (1989)
1329,1,Anaconda (1997),Last of the Mohicans% The (1992),Last Action Hero (1993),Outbreak (1995),Desperado (1995),Hackers (1995)
1330,0,Treasure of the Sierra Madre% The (1948),Grapes of Wrath% The (1940),North by Northwest (1959),Fistful of Dollars% A (1964),12 Angry Men (1957),Wild Bunch% The (1969)
1331,0,Talented Mr. Ripley% The (1999),Rebel Without a Cause (1955),Mr. Smith Goes to Washington (1939),Taxi Driver (1976),Bonnie and Clyde (1967),Snow Falling on Cedars (1999)
1332,1,Young Frankenstein (1974),Monty Python's Life of Brian (1979),American Graffiti (1973),Sting% The (1973),And Now for Something Completely Different (1971),Bug's Life% A (1998)
1333,0,Little Big Man (1970),Star Trek: Insurrection (1998),Harold and Maude (1971),Pi (1998),Run Lola Run (Lola rennt) (1998),Navigator: A Mediaeval Odyssey% The (1988)
1334,0,Fight Club (1999),L.A. Confidential (1997),Silence of the Lambs% The (1991),Election (1999),High Fidelity (2000),Boys Don't Cry (1999)
1335,1,Wallace & Gromit: The Best of Aardman Animation (1996),Babe (1995),Usual Suspects% The (1995),Elizabeth (1998),Insider% The (1999),Diva (1981)
1336,1,Pulp Fiction (1994),GoodFellas (1990),Shawshank Redemption% The (1994),Sling Blade (1996),American Beauty (1999),Close Shave% A (1995)
1337,0,Charlotte's Web (1973),Alice in Wonderland (1951),Parent Trap% The (1961),Steamboat Willie (1940),Little Mermaid% The (1989),Yellow Submarine (1968)
1338,0,Professional% The (a.k.a. Leon: The Professional) (1994),Star Wars: Episode VI - Return of the Jedi (1983),Simple Plan% A (1998),Shanghai Noon (2000),Batman (1989),Patriot% The (2000)
1339,0,Police Academy 2: Their First Assignment (1985),Trading Places (1983),Sixteen Candles (1984),Gods Must Be Crazy II% The (1989),Fugitive% The (1993),Con Air (1997)
1340,1,Escape from L.A. (1996),Big Trouble in Little China (1986),Santa Claus: The Movie (1985),Forever Young (1992),F/X (1986),Good Will Hunting (1997)
1341,0,Craft% The (1996),Carnosaur 2 (1995),Scream 2 (1997),Nightwatch (1997),Dark Half% The (1993),Wolf (1994)
1342,0,Scream 3 (2000),Urban Legend (1998),Lord of Illusions (1995),Bride of Chucky (1998),Men in Black (1997),Ravenous (1999)
1343,1,This Is Spinal Tap (1984),Lawrence of Arabia (1962),12 Angry Men (1957),Raging Bull (1980),Everything You Always Wanted to Know About Sex (1972),Stand by Me (1986)
1344,1,One Flew Over the Cuckoo's Nest (1975),Babe: Pig in the City (1998),Rocky Horror Picture Show% The (1975),Airplane! (1980),Blade Runner (1982),Planet of the Apes (1968)
1345,1,Defending Your Life (1991),Mumford (1999),Babe: Pig in the City (1998),Don Juan DeMarco (1995),To Die For (1995),Forget Paris (1995)
1346,0,Cell% The (2000),Road Trip (2000),Romeo Must Die (2000),Remember the Titans (2000),Nutty Professor II: The Klumps (2000),Me% Myself and Irene (2000)
1347,1,Creature Comforts (1990),Mission: Impossible 2 (2000),Where the Heart Is (2000),Space Cowboys (2000),Life Is Beautiful (La Vita è bella) (1997),Pitch Black (2000)
1348,1,Winnie the Pooh and the Blustery Day (1968),Hercules (1997),Song of the South (1946),Steamboat Willie (1940),Iron Giant% The (1999),Gulliver's Travels (1939)
1349,0,Aliens (1986),Back to the Future (1985),Boat% The (Das Boot) (1981),Glory (1989),Full Metal Jacket (1987),Predator (1987)
1350,1,Schindler's List (1993),Godfather: Part II% The (1974),Leaving Las Vegas (1995),Much Ado About Nothing (1993),Shakespeare in Love (1998),Piano% The (1993)
1351,0,Fugitive% The (1993),Raiders of the Lost Ark (1981),Ghostbusters (1984),Hunt for Red October% The (1990),Reservoir Dogs (1992),Simple Plan% A (1998)
1352,0,Sling Blade (1996),Green Mile% The (1999),American History X (1998),Kagemusha (1980),High Fidelity (2000),Seven (Se7en) (1995)
1353,1,Aristocats% The (1970),Aladdin (1992),Road to El Dorado% The (2000),Winnie the Pooh and the Blustery Day (1968),Fantasia 2000 (1999),Gulliver's Travels (1939)
1354,1,Hot Shots! Part Deux (1993),Song of the South (1946),Other Sister% The (1999),Message in a Bottle (1999),Whatever It Takes (2000),Forget Paris (1995)
1355,0,Dangerous Liaisons (1988),Roman Holiday (1953),King and I% The (1956),Affair to Remember% An (1957),Cyrano de Bergerac (1990),Cabaret (1972)
1356,1,Lost in Space (1998),Kull the Conqueror (1997),Richie Rich (1994),Bachelor% The (1999),Wild Things (1998),D3: The Mighty Ducks (1996)
1357,0,Damien: Omen II (1978),Mary Shelley's Frankenstein (1994),Tales from the Darkside: The Movie (1990),Child's Play (1988),Cat People (1982),Re-Animator (1985)
1358,0,On Her Majesty's Secret Service (1969),Con Air (1997),Nineteen Eighty-Four (1984),Brazil (1985),Bicentennial Man (1999),Batman & Robin (1997)
1359,1,Lady and the Tramp (1955),Robin Hood (1973),Gulliver's Travels (1939),Song of the South (1946),Steamboat Willie (1940),Creature Comforts (1990)
1360,0,Galaxy Quest (1999),Back to the Future Part II (1989),Wild Wild West (1999),Fight Club (1999),Election (1999),Cider House Rules% The (1999)
1361,1,Cyrano de Bergerac (1990),Talented Mr. Ripley% The (1999),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Shakespeare in Love (1998),Angela's Ashes (1999),Shall We Dance? (Shall We Dansu?) (1996)
1362,0,Bamboozled (2000),Star Trek: The Motion Picture (1979),Alien (1979),Arachnophobia (1990),Heavy Metal (1981),Howard the Duck (1986)
1363,0,Rushmore (1998),Elizabeth (1998),Boys Don't Cry (1999),War Room% The (1993),Red Violin% The (Le Violon rouge) (1998),Life Is Beautiful (La Vita è bella) (1997)
1364,0,Buena Vista Social Club (1999),Great Day in Harlem% A (1994),American Movie (1999),42 Up (1998),Carrie (1976),Unzipped (1995)
1365,0,Who Framed Roger Rabbit? (1988),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Wizard of Oz% The (1939),Clockwork Orange% A (1971),Terminator% The (1984),Big (1988)
1366,0,Pushing Tin (1999),Stuart Little (1999),Doors% The (1991),Snow Falling on Cedars (1999),Astronaut's Wife% The (1999),Detroit Rock City (1999)
1367,1,Benny & Joon (1993),Bulworth (1998),Aliens (1986),Dark City (1998),Waking Ned Devine (1998),Muriel's Wedding (1994)
1368,0,Magnolia (1999),Diner (1982),Chicken Run (2000),Talented Mr. Ripley% The (1999),Do the Right Thing (1989),Big Kahuna% The (2000)
1369,0,Predator (1987),Alien³ (1992),Goonies% The (1985),Nikita (La Femme Nikita) (1990),Repo Man (1984),Gattaca (1997)
1370,0,Stigmata (1999),Instinct (1999),I Saw What You Did (1965),Mod Squad% The (1999),Doors% The (1991),Double Jeopardy (1999)
1371,0,Way of the Gun% The (2000),Dancer in the Dark (2000),Best in Show (2000),Duets (2000),Love and Basketball (2000),Wonder Boys (2000)
1372,0,House on Haunted Hill% The (1999),Mission: Impossible 2 (2000),Braveheart (1995),Total Recall (1990),Idle Hands (1999),Deep Impact (1998)
1373,0,Thing% The (1982),Time Bandits (1981),West Side Story (1961),Brazil (1985),Star Wars: Episode VI - Return of the Jedi (1983),All That Jazz (1979)
1374,0,Some Folks Call It a Sling Blade (1993),Professional% The (a.k.a. Leon: The Professional) (1994),October Sky (1999),Hoop Dreams (1994),Crying Game% The (1992),Five Easy Pieces (1970)
1375,0,Postino% Il (The Postman) (1994),Hudsucker Proxy% The (1994),English Patient% The (1996),Election (1999),Love Letter% The (1999),Red Violin% The (Le Violon rouge) (1998)
1376,0,Insider% The (1999),Boys Don't Cry (1999),Erin Brockovich (2000),Snow Falling on Cedars (1999),Sleepy Hollow (1999),Sling Blade (1996)
1377,0,Benny & Joon (1993),Bicentennial Man (1999),Twelve Monkeys (1995),Marked for Death (1990),Loaded Weapon 1 (1993),Striptease (1996)
1378,0,Wrong Man% The (1956),Chinatown (1974),Touch of Evil (1958),M (1931),Cape Fear (1962),Murder% My Sweet (1944)
1379,0,Red Violin% The (Le Violon rouge) (1998),High Fidelity (2000),Clerks (1994),Angela's Ashes (1999),Straight Story% The (1999),Eyes Wide Shut (1999)
1380,1,Mars Attacks! (1996),Twelve Monkeys (1995),Forever Young (1992),Arachnophobia (1990),Nutty Professor% The (1996),X-Files: Fight the Future% The (1998)
1381,1,Snow Day (2000),28 Days (2000),Rules of Engagement (2000),Rushmore (1998),Babe: Pig in the City (1998),Shakespeare in Love (1998)
1382,0,Touch of Evil (1958),M (1931),Modern Times (1936),Thin Man% The (1934),Vertigo (1958),North by Northwest (1959)
1383,1,One Fine Day (1996),Blade Runner (1982),Short Cuts (1993),On the Waterfront (1954),Shampoo (1975),Fools Rush In (1997)
1384,0,Perfect Storm% The (2000),Mission to Mars (2000),Titan A.E. (2000),Mission: Impossible 2 (2000),American Psycho (2000),Galaxy Quest (1999)
1385,0,Saving Private Ryan (1998),Christmas Story% A (1983),American Psycho (2000),Silence of the Lambs% The (1991),Fargo (1996),Men in Black (1997)
1386,0,And Now for Something Completely Different (1971),Insider% The (1999),L.A. Confidential (1997),Producers% The (1968),Some Folks Call It a Sling Blade (1993),Hercules (1997)
1387,1,Gulliver's Travels (1939),Bringing Up Baby (1938),South Pacific (1958),White Christmas (1954),Jungle Book% The (1967),Cape Fear (1962)
1388,0,Thomas Crown Affair% The (1999),Negotiator% The (1998),Usual Suspects% The (1995),Out of Sight (1998),Professional% The (a.k.a. Leon: The Professional) (1994),Air Force One (1997)
1389,1,River Runs Through It% A (1992),Planet of the Apes (1968),Young Sherlock Holmes (1985),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Blazing Saddles (1974)
1390,1,Keeping the Faith (2000),Insider% The (1999),Life Is Beautiful (La Vita è bella) (1997),Crimson Tide (1995),Benny & Joon (1993),Englishman Who Went Up a Hill% But Came Down a Mountain% The (1995)
1391,1,City of Angels (1998),Adventures of Priscilla% Queen of the Desert% The (1994),Sabrina (1995),Strictly Ballroom (1992),Michael (1996),Ever After: A Cinderella Story (1998)
1392,0,Predator (1987),Sneakers (1992),Starship Troopers (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),Boat% The (Das Boot) (1981)
1393,0,Sling Blade (1996),Dances with Wolves (1990),Reservoir Dogs (1992),Being John Malkovich (1999),October Sky (1999),Alive (1993)
1394,0,Magnolia (1999),Dances with Wolves (1990),Nikita (La Femme Nikita) (1990),Evil Dead II (Dead By Dawn) (1987),American Psycho (2000),Nurse Betty (2000)
1395,1,Timecop (1994),Star Trek VI: The Undiscovered Country (1991),Dreamscape (1984),Escape from the Planet of the Apes (1971),Remember the Titans (2000),Election (1999)
1396,0,And Now for Something Completely Different (1971),Rosencrantz and Guildenstern Are Dead (1990),Ladyhawke (1985),This Is Spinal Tap (1984),Fight Club (1999),Big (1988)
1397,0,Princess Bride% The (1987),Aliens (1986),Jaws (1975),Producers% The (1968),Star Wars: Episode I - The Phantom Menace (1999),Indiana Jones and the Last Crusade (1989)
1398,0,Key Largo (1948),Double Indemnity (1944),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Abbott and Costello Meet Frankenstein (1948),Fantastic Voyage (1966),Return of the Fly (1959)
1399,0,GoodFellas (1990),Ninth Gate% The (2000),E.T. the Extra-Terrestrial (1982),Hunt for Red October% The (1990),Shanghai Noon (2000),Nikita (La Femme Nikita) (1990)
1400,1,GoodFellas (1990),Run Lola Run (Lola rennt) (1998),Good Will Hunting (1997),Reservoir Dogs (1992),Sling Blade (1996),Sixth Sense% The (1999)
1401,0,Schindler's List (1993),Shawshank Redemption% The (1994),Godfather% The (1972),Pulp Fiction (1994),Reservoir Dogs (1992),Sixth Sense% The (1999)
1402,0,Life Is Beautiful (La Vita è bella) (1997),Talented Mr. Ripley% The (1999),Green Mile% The (1999),Sling Blade (1996),GoodFellas (1990),Insider% The (1999)
1403,0,2001: A Space Odyssey (1968),Clockwork Orange% A (1971),Twelve Monkeys (1995),Abyss% The (1989),eXistenZ (1999),Independence Day (ID4) (1996)
1404,1,Don Juan DeMarco (1995),Living Out Loud (1998),Blast from the Past (1999),Muriel's Wedding (1994),Waking Ned Devine (1998),Ghost (1990)
1405,0,Exorcist% The (1973),Shawshank Redemption% The (1994),Schindler's List (1993),American Beauty (1999),Blazing Saddles (1974),Harold and Maude (1971)
1406,0,Dead Man Walking (1995),Insider% The (1999),Leaving Las Vegas (1995),Few Good Men% A (1992),Sling Blade (1996),Apollo 13 (1995)
1407,1,Apollo 13 (1995),Green Mile% The (1999),Some Folks Call It a Sling Blade (1993),Elizabeth (1998),Shallow Grave (1994),Shine (1996)
1408,0,Negotiator% The (1998),Last of the Mohicans% The (1992),Die Hard: With a Vengeance (1995),Heat (1995),Maverick (1994),Jackal% The (1997)
1409,0,Schindler's List (1993),Pi (1998),Rushmore (1998),Braveheart (1995),Silence of the Lambs% The (1991),Shakespeare in Love (1998)
1410,0,Follow the Bitch (1998),Beach Party (1963),Mutters Courage (1995),Concorde: Airport '79% The (1979),Adventures of Elmo in Grouchland% The (1999),Thing% The (1982)
1411,0,Red Violin% The (Le Violon rouge) (1998),Cruel Intentions (1999),Office Space (1999),Mosquito Coast% The (1986),Clan of the Cave Bear% The (1986),Big Daddy (1999)
1412,0,Dick Tracy (1990),Doctor Dolittle (1998),Taxi Driver (1976),Bone Collector% The (1999),54 (1998),General's Daughter% The (1999)
1413,1,Virgin Suicides% The (1999),GoodFellas (1990),Babe (1995),Sixth Sense% The (1999),Braveheart (1995),Chicken Run (2000)
1414,0,Lost World: Jurassic Park% The (1997),Galaxy Quest (1999),Blade (1998),Broken Arrow (1996),Maverick (1994),Mars Attacks! (1996)
1415,1,Godfather: Part II% The (1974),Bug's Life% A (1998),Silence of the Lambs% The (1991),Babe (1995),Patriot% The (2000),And Now for Something Completely Different (1971)
1416,0,South Park: Bigger% Longer and Uncut (1999),Man on the Moon (1999),Doors% The (1991),Boys Don't Cry (1999),Cruel Intentions (1999),Austin Powers: The Spy Who Shagged Me (1999)
1417,0,What Lies Beneath (2000),Pitch Black (2000),Rules of Engagement (2000),Mission: Impossible 2 (2000),Shanghai Noon (2000),Mission to Mars (2000)
1418,0,Bicentennial Man (1999),Island of Dr. Moreau% The (1996),Man in the Iron Mask% The (1998),Natural Born Killers (1994),No Escape (1994),G.I. Jane (1997)
1419,0,Wes Craven's New Nightmare (1994),Hellbound: Hellraiser II (1988),Any Given Sunday (1999),Fly II% The (1989),Waking the Dead (1999),Big Kahuna% The (2000)
1420,0,Pulp Fiction (1994),Who Framed Roger Rabbit? (1988),Election (1999),Birds% The (1963),Some Folks Call It a Sling Blade (1993),Galaxy Quest (1999)
1421,1,Small Time Crooks (2000),Dazed and Confused (1993),Go (1999),Close Shave% A (1995),Tao of Steve% The (2000),But I'm a Cheerleader (1999)
1422,1,Alien Nation (1988),Gulliver's Travels (1939),American Beauty (1999),Little Shop of Horrors (1986),Heathers (1989),Barbarella (1968)
1423,0,Being There (1979),Rushmore (1998),Little Big Man (1970),Croupier (1998),Monty Python's Life of Brian (1979),Cool Hand Luke (1967)
1424,0,Vampires (1998),House on Haunted Hill% The (1999),I Know What You Did Last Summer (1997),Scream 3 (2000),Jacob's Ladder (1990),Haunting% The (1999)
1425,1,Terminator% The (1984),Dancer in the Dark (2000),Mystery Men (1999),Cube (1997),Secret of NIMH% The (1982),Doctor Dolittle (1967)
1426,1,Matrix% The (1999),Sling Blade (1996),Last of the Mohicans% The (1992),Six Days Seven Nights (1998),Song of the South (1946),Fly% The (1986)
1427,1,Green Mile% The (1999),Prince of Egypt% The (1998),Snow Day (2000),American Psycho (2000),L.A. Confidential (1997),Sleeping Beauty (1959)
1428,0,Runaway (1984),Bikini Beach (1964),Beach Party (1963),Galaxy Quest (1999),Star Wars: Episode I - The Phantom Menace (1999),Matrix% The (1999)
1429,0,Any Given Sunday (1999),Brothers McMullen% The (1995),Waking the Dead (1999),Almost Famous (2000),Big Kahuna% The (2000),Wonder Boys (2000)
1430,0,Shakespeare in Love (1998),Insider% The (1999),Silence of the Lambs% The (1991),Magnolia (1999),Schindler's List (1993),Nikita (La Femme Nikita) (1990)
1431,0,Boogie Nights (1997),Matrix% The (1999),Star Wars: Episode I - The Phantom Menace (1999),Nikita (La Femme Nikita) (1990),Galaxy Quest (1999),High Fidelity (2000)
1432,0,Stuart Little (1999),20 Dates (1998),Doctor Dolittle (1998),American Pie (1999),Elizabeth (1998),Romy and Michele's High School Reunion (1997)
1433,1,Mighty Morphin Power Rangers: The Movie (1995),Waterworld (1995),Mortal Kombat (1995),Avengers% The (1998),Die Hard: With a Vengeance (1995),Spawn (1997)
1434,1,Wayne's World 2 (1993),Cool Runnings (1993),Father of the Bride Part II (1995),Home Alone 3 (1997),That Darn Cat! (1997),Bride of Chucky (1998)
1435,0,Nurse Betty (2000),Wonder Boys (2000),Waking the Dead (1999),Tao of Steve% The (2000),Chuck & Buck (2000),Big Kahuna% The (2000)
1436,0,Deep End of the Ocean% The (1999),Mickey Blue Eyes (1999),Clan of the Cave Bear% The (1986),Instinct (1999),For Love of the Game (1999),Mighty% The (1998)
1437,0,Patton (1970),Sling Blade (1996),Insider% The (1999),Klute (1971),Life Is Beautiful (La Vita è bella) (1997),Saving Private Ryan (1998)
1438,0,Arlington Road (1999),54 (1998),Rushmore (1998),Bowfinger (1999),South Park: Bigger% Longer and Uncut (1999),Bone Collector% The (1999)
1439,0,Notorious (1946),Cape Fear (1962),Third Man% The (1949),Blood Simple (1984),Wrong Man% The (1956),Killing% The (1956)
1440,0,Dead Man Walking (1995),Blazing Saddles (1974),Some Folks Call It a Sling Blade (1993),Patton (1970),Pulp Fiction (1994),Apostle% The (1997)
1441,0,Freddy's Dead: The Final Nightmare (1991),Nightmare on Elm Street Part 2: Freddy's Revenge% A (1985),Ready to Wear (Pret-A-Porter) (1994),Austin Powers: International Man of Mystery (1997),My Cousin Vinny (1992),As Good As It Gets (1997)
1442,0,City of Lost Children% The (1995),Rescuers Down Under% The (1990),Fantasia (1940),Escape from New York (1981),Repo Man (1984),101 Dalmatians (1961)
1443,0,Badlands (1973),One Flew Over the Cuckoo's Nest (1975),Godfather: Part II% The (1974),Five Easy Pieces (1970),Serpico (1973),Wizard of Oz% The (1939)
1444,0,My Dog Skip (1999),Space Cowboys (2000),Best in Show (2000),Tao of Steve% The (2000),Frequency (2000),Gone in 60 Seconds (2000)
1445,0,Tigerland (2000),Cruel Intentions (1999),War Zone% The (1999),Black and White (1999),Princess Mononoke% The (Mononoke Hime) (1997),Jerry Springer: Ringmaster (1998)
1446,0,Laura (1944),Taxi Driver (1976),Thin Man% The (1934),Notorious (1946),Sting% The (1973),Election (1999)
1447,1,Waking Ned Devine (1998),Creature Comforts (1990),Varsity Blues (1999),Patch Adams (1998),Thelma & Louise (1991),Dragonheart (1996)
1448,1,Phantasm (1979),Meet Joe Black (1998),Glengarry Glen Ross (1992),And Now for Something Completely Different (1971),Rounders (1998),Gods Must Be Crazy% The (1980)
1449,1,Airplane II: The Sequel (1982),Cider House Rules% The (1999),Galaxy Quest (1999),Talented Mr. Ripley% The (1999),Local Hero (1983),Harold and Maude (1971)
1450,1,Election (1999),Kingpin (1996),Pushing Tin (1999),Beyond the Mat (2000),Dick (1999),Chicken Run (2000)
1451,1,Dead Man Walking (1995),Much Ado About Nothing (1993),Time Bandits (1981),Bridges of Madison County% The (1995),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dirty Dancing (1987)
1452,0,Contender% The (2000),Wonder Boys (2000),Tao of Steve% The (2000),Virgin Suicides% The (1999),Yards% The (1999),Original Kings of Comedy% The (2000)
1453,0,54 (1998),Detroit Rock City (1999),Cruel Intentions (1999),Romy and Michele's High School Reunion (1997),Doors% The (1991),Eyes Wide Shut (1999)
1454,0,Rob Roy (1995),Heaven & Earth (1993),American Beauty (1999),Boat% The (Das Boot) (1981),Crying Game% The (1992),Swing Kids (1993)
1455,0,2001: A Space Odyssey (1968),Wings of the Dove% The (1997),Mrs. Brown (Her Majesty% Mrs. Brown) (1997),Matrix% The (1999),Rocky Horror Picture Show% The (1975),Star Wars: Episode I - The Phantom Menace (1999)
